date,apple,samsung,smartphone
2019-10-06,34,62,2
2019-10-13,30,55,2
2019-10-20,31,56,2
2019-10-27,33,59,2
2019-11-03,33,62,2
2019-11-10,31,62,2
2019-11-17,35,67,3
2019-11-24,48,100,3
2019-12-01,36,72,3
2019-12-08,31,65,3
2019-12-15,34,70,3
2019-12-22,44,84,3
2019-12-29,40,77,3
2020-01-05,46,83,3
2020-01-12,29,66,2
2020-01-19,25,55,2
2020-01-26,26,51,2
2020-02-02,27,58,2
2020-02-09,25,71,2
2020-02-16,27,63,2
2020-02-23,27,60,2
2020-03-01,25,57,2
2020-03-08,23,50,2
2020-03-15,23,44,2
2020-03-22,25,52,2
2020-03-29,26,53,2
2020-04-05,28,59,3
2020-04-12,35,57,2
2020-04-19,34,60,2
2020-04-26,32,56,2
2020-05-03,33,58,2
2020-05-10,30,58,2
2020-05-17,30,59,2
2020-05-24,28,60,2
2020-05-31,28,61,2
2020-06-07,29,65,2
2020-06-14,28,66,2
2020-06-21,28,61,2
2020-06-28,28,66,2
2020-07-05,27,65,2
2020-07-12,28,60,3
2020-07-19,29,61,2
2020-07-26,30,63,2
2020-08-02,31,68,2
2020-08-09,29,63,2
2020-08-16,32,64,2
2020-08-23,32,64,2
2020-08-30,36,64,2
2020-09-06,33,61,2
2020-09-13,48,62,2
2020-09-20,36,63,2
2020-09-27,35,66,2
