date,OnePlus,Mobile Phone,isPartial
2019-04-01 00:00:00,32,38,False
2019-04-01 01:00:00,45,55,False
2019-04-01 02:00:00,47,64,False
2019-04-01 03:00:00,38,63,False
2019-04-01 04:00:00,40,72,False
2019-04-01 05:00:00,76,60,False
2019-04-01 06:00:00,46,68,False
2019-04-01 07:00:00,87,63,False
2019-04-01 08:00:00,47,61,False
2019-04-01 09:00:00,53,59,False
2019-04-01 10:00:00,42,67,False
2019-04-01 11:00:00,58,72,False
2019-04-01 12:00:00,53,64,False
2019-04-01 13:00:00,50,52,False
2019-04-01 14:00:00,47,45,False
2019-04-01 15:00:00,50,62,False
2019-04-01 16:00:00,53,64,False
2019-04-01 17:00:00,49,56,False
2019-04-01 18:00:00,45,48,False
2019-04-01 19:00:00,31,46,False
2019-04-01 20:00:00,29,42,False
2019-04-01 21:00:00,38,46,False
2019-04-01 22:00:00,32,41,False
2019-04-01 23:00:00,27,50,False
2019-04-02 00:00:00,22,49,False
2019-04-02 01:00:00,33,65,False
2019-04-02 02:00:00,38,54,False
2019-04-02 03:00:00,56,70,False
2019-04-02 04:00:00,61,62,False
2019-04-02 05:00:00,67,81,False
2019-04-02 06:00:00,69,84,False
2019-04-02 07:00:00,55,78,False
2019-04-02 08:00:00,59,94,False
2019-04-02 09:00:00,57,68,False
2019-04-02 10:00:00,54,70,False
2019-04-02 11:00:00,60,58,False
2019-04-02 12:00:00,53,49,False
2019-04-02 13:00:00,47,59,False
2019-04-02 14:00:00,50,58,False
2019-04-02 15:00:00,47,73,False
2019-04-02 16:00:00,50,54,False
2019-04-02 17:00:00,48,71,False
2019-04-02 18:00:00,51,59,False
2019-04-02 19:00:00,42,44,False
2019-04-02 20:00:00,37,42,False
2019-04-02 21:00:00,39,42,False
2019-04-02 22:00:00,36,37,False
2019-04-02 23:00:00,30,48,False
2019-04-03 00:00:00,24,43,False
2019-04-03 01:00:00,16,51,False
2019-04-03 02:00:00,32,66,False
2019-04-03 03:00:00,47,62,False
2019-04-03 04:00:00,62,80,False
2019-04-03 05:00:00,75,77,False
2019-04-03 06:00:00,66,66,False
2019-04-03 07:00:00,54,73,False
2019-04-03 08:00:00,53,79,False
2019-04-03 09:00:00,52,78,False
2019-04-03 10:00:00,44,68,False
2019-04-03 11:00:00,56,65,False
2019-04-03 12:00:00,48,59,False
2019-04-03 13:00:00,61,63,False
2019-04-03 14:00:00,44,63,False
2019-04-03 15:00:00,50,66,False
2019-04-03 16:00:00,44,80,False
2019-04-03 17:00:00,43,57,False
2019-04-03 18:00:00,45,54,False
2019-04-03 19:00:00,35,58,False
2019-04-03 20:00:00,38,45,False
2019-04-03 21:00:00,38,37,False
2019-04-03 22:00:00,27,40,False
2019-04-03 23:00:00,9,45,False
2019-04-04 00:00:00,19,56,False
2019-04-04 01:00:00,31,47,False
2019-04-04 02:00:00,45,50,False
2019-04-04 03:00:00,50,74,False
2019-04-04 04:00:00,62,68,False
2019-04-04 05:00:00,65,82,False
2019-04-04 06:00:00,64,76,False
2019-04-04 07:00:00,72,65,False
2019-04-04 08:00:00,69,74,False
2019-04-04 09:00:00,57,67,False
2019-04-04 10:00:00,69,75,False
2019-04-04 11:00:00,58,65,False
2019-04-04 12:00:00,48,68,False
2019-04-04 13:00:00,43,60,False
2019-04-04 14:00:00,45,65,False
2019-04-04 15:00:00,48,67,False
2019-04-04 16:00:00,44,69,False
2019-04-04 17:00:00,58,59,False
2019-04-04 18:00:00,44,48,False
2019-04-04 19:00:00,43,47,False
2019-04-04 20:00:00,36,38,False
2019-04-04 21:00:00,45,58,False
2019-04-04 22:00:00,33,43,False
2019-04-04 23:00:00,21,35,False
2019-04-05 00:00:00,29,52,False
2019-04-05 01:00:00,30,51,False
2019-04-05 02:00:00,56,72,False
2019-04-05 03:00:00,54,78,False
2019-04-05 04:00:00,59,62,False
2019-04-05 05:00:00,60,80,False
2019-04-05 06:00:00,86,86,False
2019-04-05 07:00:00,65,70,False
2019-04-05 08:00:00,54,70,False
2019-04-05 09:00:00,53,74,False
2019-04-05 10:00:00,59,53,False
2019-04-05 11:00:00,48,65,False
2019-04-05 12:00:00,48,55,False
2019-04-05 13:00:00,48,59,False
2019-04-05 14:00:00,45,52,False
2019-04-05 15:00:00,46,62,False
2019-04-05 16:00:00,38,60,False
2019-04-05 17:00:00,46,48,False
2019-04-05 18:00:00,42,46,False
2019-04-05 19:00:00,53,51,False
2019-04-05 20:00:00,53,45,False
2019-04-05 21:00:00,31,30,False
2019-04-05 22:00:00,26,48,False
2019-04-05 23:00:00,26,41,False
2019-04-06 00:00:00,27,37,False
2019-04-06 01:00:00,33,54,False
2019-04-06 02:00:00,27,58,False
2019-04-06 03:00:00,46,61,False
2019-04-06 04:00:00,55,67,False
2019-04-06 05:00:00,68,94,False
2019-04-06 06:00:00,78,74,False
2019-04-06 07:00:00,74,90,False
2019-04-06 08:00:00,78,66,False
2019-04-06 09:00:00,64,94,False
2019-04-06 10:00:00,68,67,False
2019-04-06 11:00:00,66,68,False
2019-04-06 12:00:00,60,56,False
2019-04-06 13:00:00,65,66,False
2019-04-06 14:00:00,56,58,False
2019-04-06 15:00:00,42,62,False
2019-04-06 16:00:00,57,60,False
2019-04-06 17:00:00,51,53,False
2019-04-06 18:00:00,44,52,False
2019-04-06 19:00:00,48,54,False
2019-04-06 20:00:00,45,50,False
2019-04-06 21:00:00,34,42,False
2019-04-06 22:00:00,38,49,False
2019-04-06 23:00:00,28,42,False
2019-04-07 00:00:00,23,55,False
2019-04-07 01:00:00,28,51,False
2019-04-07 02:00:00,39,45,False
2019-04-07 03:00:00,53,67,False
2019-04-07 04:00:00,54,100,False
2019-04-07 05:00:00,74,84,False
2019-04-07 06:00:00,64,76,False
2019-04-07 07:00:00,69,82,False
2019-04-07 08:00:00,69,89,False
2019-04-07 09:00:00,84,72,False
2019-04-07 10:00:00,61,76,False
2019-04-07 11:00:00,74,68,False
2019-04-07 12:00:00,45,77,False
2019-04-07 13:00:00,64,71,False
2019-04-07 14:00:00,46,60,False
2019-04-07 15:00:00,56,55,False
2019-04-07 16:00:00,47,54,False
2019-04-07 17:00:00,50,58,False
2019-04-07 18:00:00,55,64,False
2019-04-07 19:00:00,42,45,False
2019-04-07 20:00:00,39,41,False
2019-04-07 21:00:00,45,40,False
2019-04-07 22:00:00,37,46,False
2019-04-07 23:00:00,34,48,False
2019-04-08 00:00:00,42,49,False
2019-04-08 00:00:00,41,49,False
2019-04-08 01:00:00,36,79,False
2019-04-08 02:00:00,39,56,False
2019-04-08 03:00:00,37,93,False
2019-04-08 04:00:00,58,71,False
2019-04-08 05:00:00,73,82,False
2019-04-08 06:00:00,66,72,False
2019-04-08 07:00:00,70,74,False
2019-04-08 08:00:00,57,75,False
2019-04-08 09:00:00,68,66,False
2019-04-08 10:00:00,45,66,False
2019-04-08 11:00:00,55,74,False
2019-04-08 12:00:00,49,78,False
2019-04-08 13:00:00,51,70,False
2019-04-08 14:00:00,50,57,False
2019-04-08 15:00:00,49,63,False
2019-04-08 16:00:00,52,59,False
2019-04-08 17:00:00,55,49,False
2019-04-08 18:00:00,41,49,False
2019-04-08 19:00:00,39,51,False
2019-04-08 20:00:00,50,40,False
2019-04-08 21:00:00,41,37,False
2019-04-08 22:00:00,26,42,False
2019-04-08 23:00:00,27,33,False
2019-04-09 00:00:00,28,38,False
2019-04-09 01:00:00,39,64,False
2019-04-09 02:00:00,58,59,False
2019-04-09 03:00:00,47,64,False
2019-04-09 04:00:00,54,60,False
2019-04-09 05:00:00,77,73,False
2019-04-09 06:00:00,74,73,False
2019-04-09 07:00:00,68,75,False
2019-04-09 08:00:00,54,74,False
2019-04-09 09:00:00,58,80,False
2019-04-09 10:00:00,57,72,False
2019-04-09 11:00:00,46,61,False
2019-04-09 12:00:00,48,48,False
2019-04-09 13:00:00,53,60,False
2019-04-09 14:00:00,45,61,False
2019-04-09 15:00:00,46,50,False
2019-04-09 16:00:00,44,63,False
2019-04-09 17:00:00,54,57,False
2019-04-09 18:00:00,47,65,False
2019-04-09 19:00:00,36,51,False
2019-04-09 20:00:00,48,43,False
2019-04-09 21:00:00,34,47,False
2019-04-09 22:00:00,23,37,False
2019-04-09 23:00:00,18,72,False
2019-04-10 00:00:00,26,37,False
2019-04-10 01:00:00,39,57,False
2019-04-10 02:00:00,36,40,False
2019-04-10 03:00:00,65,60,False
2019-04-10 04:00:00,58,55,False
2019-04-10 05:00:00,82,79,False
2019-04-10 06:00:00,83,69,False
2019-04-10 07:00:00,80,57,False
2019-04-10 08:00:00,84,72,False
2019-04-10 09:00:00,57,68,False
2019-04-10 10:00:00,81,66,False
2019-04-10 11:00:00,74,65,False
2019-04-10 12:00:00,61,62,False
2019-04-10 13:00:00,55,53,False
2019-04-10 14:00:00,53,65,False
2019-04-10 15:00:00,57,57,False
2019-04-10 16:00:00,54,54,False
2019-04-10 17:00:00,74,60,False
2019-04-10 18:00:00,50,55,False
2019-04-10 19:00:00,43,46,False
2019-04-10 20:00:00,39,40,False
2019-04-10 21:00:00,39,49,False
2019-04-10 22:00:00,35,43,False
2019-04-10 23:00:00,27,37,False
2019-04-11 00:00:00,39,41,False
2019-04-11 01:00:00,31,56,False
2019-04-11 02:00:00,43,61,False
2019-04-11 03:00:00,66,56,False
2019-04-11 04:00:00,61,95,False
2019-04-11 05:00:00,72,81,False
2019-04-11 06:00:00,59,80,False
2019-04-11 07:00:00,67,69,False
2019-04-11 08:00:00,56,68,False
2019-04-11 09:00:00,63,56,False
2019-04-11 10:00:00,66,57,False
2019-04-11 11:00:00,58,50,False
2019-04-11 12:00:00,54,53,False
2019-04-11 13:00:00,48,56,False
2019-04-11 14:00:00,57,51,False
2019-04-11 15:00:00,50,56,False
2019-04-11 16:00:00,51,64,False
2019-04-11 17:00:00,52,55,False
2019-04-11 18:00:00,39,45,False
2019-04-11 19:00:00,45,39,False
2019-04-11 20:00:00,36,26,False
2019-04-11 21:00:00,39,42,False
2019-04-11 22:00:00,24,46,False
2019-04-11 23:00:00,36,48,False
2019-04-12 00:00:00,29,29,False
2019-04-12 01:00:00,31,53,False
2019-04-12 02:00:00,47,71,False
2019-04-12 03:00:00,65,67,False
2019-04-12 04:00:00,65,59,False
2019-04-12 05:00:00,68,59,False
2019-04-12 06:00:00,87,70,False
2019-04-12 07:00:00,67,76,False
2019-04-12 08:00:00,57,73,False
2019-04-12 09:00:00,47,78,False
2019-04-12 10:00:00,63,68,False
2019-04-12 11:00:00,61,52,False
2019-04-12 12:00:00,53,73,False
2019-04-12 13:00:00,54,57,False
2019-04-12 14:00:00,56,61,False
2019-04-12 15:00:00,52,58,False
2019-04-12 16:00:00,43,59,False
2019-04-12 17:00:00,48,59,False
2019-04-12 18:00:00,41,52,False
2019-04-12 19:00:00,44,42,False
2019-04-12 20:00:00,36,45,False
2019-04-12 21:00:00,37,49,False
2019-04-12 22:00:00,38,30,False
2019-04-12 23:00:00,25,44,False
2019-04-13 00:00:00,26,48,False
2019-04-13 01:00:00,41,68,False
2019-04-13 02:00:00,35,53,False
2019-04-13 03:00:00,57,79,False
2019-04-13 04:00:00,72,71,False
2019-04-13 05:00:00,93,80,False
2019-04-13 06:00:00,74,93,False
2019-04-13 07:00:00,100,84,False
2019-04-13 08:00:00,87,74,False
2019-04-13 09:00:00,65,63,False
2019-04-13 10:00:00,69,52,False
2019-04-13 11:00:00,55,75,False
2019-04-13 12:00:00,63,58,False
2019-04-13 13:00:00,62,65,False
2019-04-13 14:00:00,61,49,False
2019-04-13 15:00:00,37,55,False
2019-04-13 16:00:00,53,60,False
2019-04-13 17:00:00,51,57,False
2019-04-13 18:00:00,46,44,False
2019-04-13 19:00:00,43,33,False
2019-04-13 20:00:00,47,36,False
2019-04-13 21:00:00,40,37,False
2019-04-13 22:00:00,38,42,False
2019-04-13 23:00:00,39,46,False
2019-04-14 00:00:00,26,34,False
2019-04-14 01:00:00,36,50,False
2019-04-14 02:00:00,32,56,False
2019-04-14 03:00:00,53,68,False
2019-04-14 04:00:00,72,81,False
2019-04-14 05:00:00,66,62,False
2019-04-14 06:00:00,90,69,False
2019-04-14 07:00:00,84,68,False
2019-04-14 08:00:00,74,89,False
2019-04-14 09:00:00,72,68,False
2019-04-14 10:00:00,71,65,False
2019-04-14 11:00:00,70,65,False
2019-04-14 12:00:00,65,62,False
2019-04-14 13:00:00,76,63,False
2019-04-14 14:00:00,53,56,False
2019-04-14 15:00:00,66,53,False
2019-04-14 16:00:00,54,60,False
2019-04-14 17:00:00,56,51,False
2019-04-14 18:00:00,58,59,False
2019-04-14 19:00:00,43,44,False
2019-04-14 20:00:00,31,44,False
2019-04-14 21:00:00,28,49,False
2019-04-14 22:00:00,48,48,False
2019-04-14 23:00:00,24,42,False
2019-04-15 00:00:00,34,57,False
2019-04-15 00:00:00,34,57,False
2019-04-15 01:00:00,44,54,False
2019-04-15 02:00:00,38,61,False
2019-04-15 03:00:00,58,52,False
2019-04-15 04:00:00,62,58,False
2019-04-15 05:00:00,69,69,False
2019-04-15 06:00:00,80,62,False
2019-04-15 07:00:00,66,60,False
2019-04-15 08:00:00,75,50,False
2019-04-15 09:00:00,68,68,False
2019-04-15 10:00:00,58,61,False
2019-04-15 11:00:00,48,59,False
2019-04-15 12:00:00,53,42,False
2019-04-15 13:00:00,52,48,False
2019-04-15 14:00:00,51,51,False
2019-04-15 15:00:00,52,48,False
2019-04-15 16:00:00,51,56,False
2019-04-15 17:00:00,42,45,False
2019-04-15 18:00:00,42,42,False
2019-04-15 19:00:00,33,43,False
2019-04-15 20:00:00,49,52,False
2019-04-15 21:00:00,26,33,False
2019-04-15 22:00:00,36,53,False
2019-04-15 23:00:00,30,43,False
2019-04-16 00:00:00,39,33,False
2019-04-16 01:00:00,32,66,False
2019-04-16 02:00:00,36,60,False
2019-04-16 03:00:00,64,68,False
2019-04-16 04:00:00,71,72,False
2019-04-16 05:00:00,63,68,False
2019-04-16 06:00:00,63,94,False
2019-04-16 07:00:00,67,71,False
2019-04-16 08:00:00,67,70,False
2019-04-16 09:00:00,55,54,False
2019-04-16 10:00:00,57,54,False
2019-04-16 11:00:00,46,62,False
2019-04-16 12:00:00,46,54,False
2019-04-16 13:00:00,54,55,False
2019-04-16 14:00:00,59,63,False
2019-04-16 15:00:00,44,57,False
2019-04-16 16:00:00,51,56,False
2019-04-16 17:00:00,52,53,False
2019-04-16 18:00:00,45,43,False
2019-04-16 19:00:00,40,43,False
2019-04-16 20:00:00,38,37,False
2019-04-16 21:00:00,38,41,False
2019-04-16 22:00:00,44,38,False
2019-04-16 23:00:00,22,46,False
2019-04-17 00:00:00,53,38,False
2019-04-17 01:00:00,35,42,False
2019-04-17 02:00:00,47,55,False
2019-04-17 03:00:00,56,63,False
2019-04-17 04:00:00,63,81,False
2019-04-17 05:00:00,76,51,False
2019-04-17 06:00:00,76,65,False
2019-04-17 07:00:00,68,80,False
2019-04-17 08:00:00,72,72,False
2019-04-17 09:00:00,70,72,False
2019-04-17 10:00:00,67,69,False
2019-04-17 11:00:00,63,66,False
2019-04-17 12:00:00,67,51,False
2019-04-17 13:00:00,61,48,False
2019-04-17 14:00:00,62,57,False
2019-04-17 15:00:00,78,50,False
2019-04-17 16:00:00,47,59,False
2019-04-17 17:00:00,60,51,False
2019-04-17 18:00:00,57,45,False
2019-04-17 19:00:00,48,44,False
2019-04-17 20:00:00,55,42,False
2019-04-17 21:00:00,36,44,False
2019-04-17 22:00:00,39,38,False
2019-04-17 23:00:00,42,52,False
2019-04-18 00:00:00,44,48,False
2019-04-18 01:00:00,43,51,False
2019-04-18 02:00:00,35,57,False
2019-04-18 03:00:00,58,76,False
2019-04-18 04:00:00,82,66,False
2019-04-18 05:00:00,64,79,False
2019-04-18 06:00:00,75,61,False
2019-04-18 07:00:00,76,86,False
2019-04-18 08:00:00,69,66,False
2019-04-18 09:00:00,67,59,False
2019-04-18 10:00:00,75,64,False
2019-04-18 11:00:00,68,51,False
2019-04-18 12:00:00,54,58,False
2019-04-18 13:00:00,64,65,False
2019-04-18 14:00:00,56,44,False
2019-04-18 15:00:00,67,55,False
2019-04-18 16:00:00,60,48,False
2019-04-18 17:00:00,48,47,False
2019-04-18 18:00:00,59,46,False
2019-04-18 19:00:00,44,46,False
2019-04-18 20:00:00,50,46,False
2019-04-18 21:00:00,41,57,False
2019-04-18 22:00:00,27,49,False
2019-04-18 23:00:00,25,50,False
2019-04-19 00:00:00,41,37,False
2019-04-19 01:00:00,42,60,False
2019-04-19 02:00:00,46,70,False
2019-04-19 03:00:00,59,73,False
2019-04-19 04:00:00,76,58,False
2019-04-19 05:00:00,81,76,False
2019-04-19 06:00:00,100,72,False
2019-04-19 07:00:00,70,81,False
2019-04-19 08:00:00,81,58,False
2019-04-19 09:00:00,79,74,False
2019-04-19 10:00:00,83,66,False
2019-04-19 11:00:00,65,48,False
2019-04-19 12:00:00,63,64,False
2019-04-19 13:00:00,62,62,False
2019-04-19 14:00:00,59,62,False
2019-04-19 15:00:00,57,54,False
2019-04-19 16:00:00,59,70,False
2019-04-19 17:00:00,63,61,False
2019-04-19 18:00:00,57,48,False
2019-04-19 19:00:00,53,43,False
2019-04-19 20:00:00,42,53,False
2019-04-19 21:00:00,51,37,False
2019-04-19 22:00:00,35,41,False
2019-04-19 23:00:00,41,48,False
2019-04-20 00:00:00,40,46,False
2019-04-20 01:00:00,37,55,False
2019-04-20 02:00:00,44,43,False
2019-04-20 03:00:00,79,71,False
2019-04-20 04:00:00,61,70,False
2019-04-20 05:00:00,73,55,False
2019-04-20 06:00:00,79,72,False
2019-04-20 07:00:00,71,75,False
2019-04-20 08:00:00,80,77,False
2019-04-20 09:00:00,59,75,False
2019-04-20 10:00:00,72,69,False
2019-04-20 11:00:00,74,60,False
2019-04-20 12:00:00,65,57,False
2019-04-20 13:00:00,59,48,False
2019-04-20 14:00:00,65,52,False
2019-04-20 15:00:00,59,57,False
2019-04-20 16:00:00,65,64,False
2019-04-20 17:00:00,67,48,False
2019-04-20 18:00:00,57,47,False
2019-04-20 19:00:00,45,50,False
2019-04-20 20:00:00,46,43,False
2019-04-20 21:00:00,51,54,False
2019-04-20 22:00:00,26,39,False
2019-04-20 23:00:00,36,49,False
2019-04-21 00:00:00,35,54,False
