date,Vega,Mobile Phone,isPartial
2019-04-01 00:00:00,26,13,False
2019-04-01 01:00:00,22,18,False
2019-04-01 02:00:00,22,22,False
2019-04-01 03:00:00,25,24,False
2019-04-01 04:00:00,23,25,False
2019-04-01 05:00:00,19,20,False
2019-04-01 06:00:00,16,24,False
2019-04-01 07:00:00,22,22,False
2019-04-01 08:00:00,18,21,False
2019-04-01 09:00:00,16,20,False
2019-04-01 10:00:00,19,20,False
2019-04-01 11:00:00,18,25,False
2019-04-01 12:00:00,18,22,False
2019-04-01 13:00:00,22,20,False
2019-04-01 14:00:00,20,15,False
2019-04-01 15:00:00,22,20,False
2019-04-01 16:00:00,34,21,False
2019-04-01 17:00:00,94,18,False
2019-04-01 18:00:00,74,17,False
2019-04-01 19:00:00,77,15,False
2019-04-01 20:00:00,68,14,False
2019-04-01 21:00:00,100,14,False
2019-04-01 22:00:00,72,15,False
2019-04-01 23:00:00,67,16,False
2019-04-02 00:00:00,66,18,False
2019-04-02 01:00:00,63,26,False
2019-04-02 02:00:00,62,14,False
2019-04-02 03:00:00,63,26,False
2019-04-02 04:00:00,68,22,False
2019-04-02 05:00:00,43,31,False
2019-04-02 06:00:00,30,28,False
2019-04-02 07:00:00,28,25,False
2019-04-02 08:00:00,23,30,False
2019-04-02 09:00:00,19,25,False
2019-04-02 10:00:00,21,29,False
2019-04-02 11:00:00,23,20,False
2019-04-02 12:00:00,34,18,False
2019-04-02 13:00:00,39,21,False
2019-04-02 14:00:00,36,20,False
2019-04-02 15:00:00,39,25,False
2019-04-02 16:00:00,38,18,False
2019-04-02 17:00:00,35,24,False
2019-04-02 18:00:00,36,21,False
2019-04-02 19:00:00,35,14,False
2019-04-02 20:00:00,36,15,False
2019-04-02 21:00:00,63,15,False
2019-04-02 22:00:00,47,14,False
2019-04-02 23:00:00,45,16,False
2019-04-03 00:00:00,41,15,False
2019-04-03 01:00:00,42,21,False
2019-04-03 02:00:00,39,23,False
2019-04-03 03:00:00,36,20,False
2019-04-03 04:00:00,42,23,False
2019-04-03 05:00:00,32,27,False
2019-04-03 06:00:00,27,26,False
2019-04-03 07:00:00,27,23,False
2019-04-03 08:00:00,23,24,False
2019-04-03 09:00:00,19,26,False
2019-04-03 10:00:00,22,24,False
2019-04-03 11:00:00,21,22,False
2019-04-03 12:00:00,24,20,False
2019-04-03 13:00:00,30,22,False
2019-04-03 14:00:00,28,21,False
2019-04-03 15:00:00,34,23,False
2019-04-03 16:00:00,29,28,False
2019-04-03 17:00:00,34,20,False
2019-04-03 18:00:00,32,17,False
2019-04-03 19:00:00,30,17,False
2019-04-03 20:00:00,33,14,False
2019-04-03 21:00:00,53,12,False
2019-04-03 22:00:00,40,15,False
2019-04-03 23:00:00,35,15,False
2019-04-04 00:00:00,29,19,False
2019-04-04 01:00:00,27,16,False
2019-04-04 02:00:00,34,17,False
2019-04-04 03:00:00,30,24,False
2019-04-04 04:00:00,32,19,False
2019-04-04 05:00:00,30,26,False
2019-04-04 06:00:00,22,27,False
2019-04-04 07:00:00,23,24,False
2019-04-04 08:00:00,22,27,False
2019-04-04 09:00:00,21,21,False
2019-04-04 10:00:00,20,26,False
