brand,product_id,sales
a-case,18001428,25
a-case,18001415,2
a-case,18001340,1
a-case,18001378,1
apple,1005115,34785
apple,1002544,22225
apple,1004249,17970
apple,1005105,15776
apple,1002524,12877
apple,1002633,10533
apple,1005135,7502
apple,1003306,7366
apple,1005116,7036
apple,1004258,5422
apple,1003317,5254
apple,1004246,4461
apple,1002629,3610
apple,1004237,3420
apple,1004250,3402
apple,1005118,3244
apple,1005104,3088
apple,1005129,3081
apple,1005132,2911
apple,1005106,2907
apple,1002547,2826
apple,1003310,2748
apple,1005121,2619
apple,1003316,2601
apple,1003304,2599
apple,1004227,2514
apple,1002532,2498
apple,1005124,2328
apple,1003312,2216
apple,1005144,2167
apple,1005112,2010
apple,100038678,1835
apple,1005119,1802
apple,1002540,1485
apple,1002528,1475
apple,1004226,1295
apple,1004238,1262
apple,1005130,1260
apple,1004247,1221
apple,1005107,1204
apple,1002536,1150
apple,1004259,1115
apple,1005122,1047
apple,1005143,1044
apple,1005141,1015
apple,1002634,973
apple,1005126,874
apple,1005113,836
apple,1005209,797
apple,1005140,793
apple,1005133,753
apple,100038635,710
apple,1004240,697
apple,1005117,687
apple,100068230,648
apple,1005138,628
apple,1003800,619
apple,1004225,584
apple,1005136,556
apple,1002525,552
apple,1003305,519
apple,1002545,518
apple,1002542,514
apple,1003318,513
apple,1005109,513
apple,1004241,491
apple,1004229,484
apple,1005127,445
apple,1003319,441
apple,1002531,388
apple,1003311,387
apple,1005230,356
apple,1005137,355
apple,1004255,347
apple,1004243,341
apple,1002796,332
apple,1004252,320
apple,100070919,319
apple,1002535,315
apple,1002548,291
apple,1005207,288
apple,1004230,281
apple,1005142,265
apple,1004235,252
apple,1005145,250
apple,1005125,236
apple,1002538,229
apple,1005123,220
apple,1002628,219
apple,1005110,218
apple,1004256,197
apple,1005139,197
apple,1004234,195
apple,1004253,191
apple,1003313,176
apple,1002786,173
apple,1003363,173
apple,1004244,164
apple,1005120,163
apple,1003801,161
apple,1005108,150
apple,1003307,136
apple,1005208,126
apple,1004228,123
apple,1003315,121
apple,100068296,118
apple,1004356,117
apple,1005245,115
apple,100068223,114
apple,1004942,112
apple,100038694,110
apple,1005114,100
apple,1004361,93
apple,1005131,86
apple,1003066,75
apple,1001605,71
apple,1002549,66
apple,1004920,66
apple,1005269,66
apple,1004919,64
apple,1003314,62
apple,1004239,57
apple,1004233,55
apple,1005134,53
apple,1004929,49
apple,1004251,46
apple,1004236,45
apple,1003309,44
apple,1005128,44
apple,1004358,42
apple,1005111,38
apple,1004248,37
apple,1004232,36
apple,1001618,33
apple,1004362,29
apple,1004231,27
apple,1003802,26
apple,1004260,26
apple,1003141,24
apple,1002522,21
apple,1003308,21
apple,1004242,21
apple,1004926,19
apple,1004930,19
apple,100053117,18
apple,1002527,17
apple,1004916,15
apple,1004917,15
apple,1001606,14
apple,1004357,14
apple,1004359,14
apple,1004441,14
apple,1004363,13
apple,1004245,12
apple,1002546,11
apple,1004254,11
apple,1003803,10
apple,1004360,9
apple,1003064,7
apple,100014335,7
apple,18001686,6
apple,1002995,5
apple,18001504,4
apple,1004257,3
apple,18001414,3
apple,1003028,2
apple,1004925,2
apple,18000025,2
apple,18001145,2
apple,1001619,1
apple,1002533,1
apple,1002541,1
apple,18000090,1
apple,18000388,1
apple,18000660,1
apple,18000782,1
apple,18001138,1
asus,1004885,17
asus,1004721,6
asus,1004884,6
asus,1004675,2
asus,1004413,1
asus,1005251,1
blackberry,1005277,21
blackberry,1004475,5
blackberry,1002550,3
bq,1004825,16
bq,1004284,14
bq,1005220,12
bq,1004822,11
bq,1005194,11
bq,1004308,10
bq,1004557,10
bq,1004415,9
bq,1005078,9
bq,1005077,8
bq,1005200,7
bq,1004704,6
bq,1004098,5
bq,1004507,5
bq,1004613,5
bq,1004616,4
bq,1004683,4
bq,1004516,3
bq,1004602,3
bq,1004603,3
bq,1004609,3
bq,1005076,3
bq,1005218,3
bq,1004100,2
bq,1004276,2
bq,1004294,2
bq,1004508,2
bq,1004606,2
bq,1004615,2
bq,1004684,2
bq,1003794,1
bq,1004085,1
bq,1004101,1
bq,1004104,1
bq,1004114,1
bq,1004118,1
bq,1004270,1
bq,1004277,1
bq,1004278,1
bq,1004279,1
bq,1004280,1
bq,1004296,1
bq,1004301,1
bq,1004348,1
bq,1004444,1
bq,1004510,1
bq,1004558,1
bq,1004567,1
bq,1004605,1
bq,1004612,1
bq,1004691,1
bq,1004693,1
bq,1004696,1
bq,1005040,1
denzel,50600032,1
deppa,18001583,9
deppa,18001588,6
deppa,18001590,6
deppa,18001599,4
deppa,18001665,1
doogee,1003614,24
doogee,1003613,17
doogee,1004760,17
doogee,1004995,14
doogee,1004999,13
doogee,1004759,11
doogee,1004997,10
doogee,1004468,9
doogee,1004996,7
doogee,1004998,7
doogee,1005000,7
doogee,1004827,5
doogee,1004467,4
doogee,1004532,2
doogee,1003622,1
doogee,1003981,1
